player,team,matches,tournaments
Lothar Matthäus,Germany,25,4
Miroslav Klose,Germany,24,4
Paolo Maldini,Italy,23,4
Diego Maradona,Argentina,21,4
Uwe Seeler,West Germany,21,4
Cafu,Brazil,20,4
Grzegorz Lato,Poland,20,3
Pelé,Brazil,14,4
Ronaldo,Brazil,19,3
Djalma Santos,Brazil,16,3
Karl-Heinz Rummenigge,West Germany,19,3
Władysław Żmuda,Poland,21,4
Grzegorz Lato,Poland,20,3
Roberto Carlos,Brazil,18,4
Lionel Messi,Argentina,26,5
Cristiano Ronaldo,Portugal,22,5
Kylian Mbappé,France,20,3
Luka Modrić,Croatia,19,4
Andres Iniesta,Spain,10,3
Xavi,Spain,10,3
