player,team,goals,tournaments,years
Miroslav Klose,Germany,16,4,2002;2006;2010;2014
Ronaldo,Brazil,15,3,1998;2002;2006
Gerd Müller,West Germany,14,2,1970;1974
Just Fontaine,France,13,1,1958
Pelé,Brazil,12,4,1958;1962;1966;1970
Sandor Kocsis,Hungary,11,1,1954
Jürgen Klinsmann,Germany,11,3,1990;1994;1998
Helmut Rahn,West Germany,10,2,1954;1958
Gary Lineker,England,10,2,1986;1990
Gabriel Batistuta,Argentina,10,3,1994;1998;2002
Teófilo Cubillas,Peru,10,2,1970;1978
Grzegorz Lato,Poland,10,2,1974;1978
Ronaldo (R9),Brazil,8,2,1998;2002
Rivaldo,Brazil,8,2,1998;2002
Kylian Mbappé,France,12,3,2018;2022;2026
Cristiano Ronaldo,Portugal,8,5,2006;2010;2014;2018;2022
Lionel Messi,Argentina,13,5,2006;2010;2014;2018;2022
Eusébio,Portugal,9,1,1966
Ademir,Brazil,9,1,1950
Luka Modrić,Croatia,3,4,2006;2014;2018;2022
